epoch,train_loss,val_loss
1,2.5139376359448544,2.20292841270566
2,1.9565124628693686,2.0049296990036964
3,1.7082318597223687,1.8527957610785961
4,1.5599830820910066,1.7367155328392982
5,1.4351426689108258,1.6463995762169361
6,1.3474817411705047,1.625177301466465
7,1.2743923852041512,1.5487892217934132
8,1.2073946049089863,1.5164151266217232
9,1.1573059555582594,1.4856014251708984
10,1.1107368270118023,1.4285615775734186
11,1.0663312379488477,1.484305052086711
12,1.0364133826032889,1.4131097309291363
13,0.9995482836037776,1.4275957085192204
14,0.9709700334821278,1.3910444173961878
15,0.9502239996010834,1.4432628639042377
16,0.9176348904691957,1.3650644235312939
